type;fixed_acidity;volatile_acidity;citric_acid;residual_sugar;chlorides;free_sulfur_dioxide;total_sulfur_dioxide;density;pH;sulphates;alcohol;quality;rnum
red;7.4000000000;0.7000000000;0.0000000000;1.9000000000;0.0760000000;11.0000000000;34.0000000000;0.9978000000;3.5100000000;0.5600000000;9.4000000000;5;1
red;7.8000000000;0.8800000000;0.0000000000;2.6000000000;0.0980000000;25.0000000000;67.0000000000;0.9968000000;3.2000000000;0.6800000000;9.8000000000;5;2
red;7.8000000000;0.7600000000;0.0400000000;2.3000000000;0.0920000000;15.0000000000;54.0000000000;0.9970000000;3.2600000000;0.6500000000;9.8000000000;5;3
red;11.2000000000;0.2800000000;0.5600000000;1.9000000000;0.0750000000;17.0000000000;60.0000000000;0.9980000000;3.1600000000;0.5800000000;9.8000000000;6;4
red;7.4000000000;0.7000000000;0.0000000000;1.9000000000;0.0760000000;11.0000000000;34.0000000000;0.9978000000;3.5100000000;0.5600000000;9.4000000000;5;5
red;7.4000000000;0.6600000000;0.0000000000;1.8000000000;0.0750000000;13.0000000000;40.0000000000;0.9978000000;3.5100000000;0.5600000000;9.4000000000;5;6
red;7.9000000000;0.6000000000;0.0600000000;1.6000000000;0.0690000000;15.0000000000;59.0000000000;0.9964000000;3.3000000000;0.4600000000;9.4000000000;5;7
red;7.3000000000;0.6500000000;0.0000000000;1.2000000000;0.0650000000;15.0000000000;21.0000000000;0.9946000000;3.3900000000;0.4700000000;10.0000000000;7;8
red;7.8000000000;0.5800000000;0.0200000000;2.0000000000;0.0730000000;9.0000000000;18.0000000000;0.9968000000;3.3600000000;0.5700000000;9.5000000000;7;9
red;7.5000000000;0.5000000000;0.3600000000;6.1000000000;0.0710000000;17.0000000000;102.0000000000;0.9978000000;3.3500000000;0.8000000000;10.5000000000;5;10
red;6.7000000000;0.5800000000;0.0800000000;1.8000000000;0.0970000000;15.0000000000;65.0000000000;0.9959000000;3.2800000000;0.5400000000;9.2000000000;5;11
red;7.5000000000;0.5000000000;0.3600000000;6.1000000000;0.0710000000;17.0000000000;102.0000000000;0.9978000000;3.3500000000;0.8000000000;10.5000000000;5;12
red;5.6000000000;0.6150000000;0.0000000000;1.6000000000;0.0890000000;16.0000000000;59.0000000000;0.9943000000;3.5800000000;0.5200000000;9.9000000000;5;13
red;7.8000000000;0.6100000000;0.2900000000;1.6000000000;0.1140000000;9.0000000000;29.0000000000;0.9974000000;3.2600000000;1.5600000000;9.1000000000;5;14
red;8.9000000000;0.6200000000;0.1800000000;3.8000000000;0.1760000000;52.0000000000;145.0000000000;0.9986000000;3.1600000000;0.8800000000;9.2000000000;5;15
red;8.9000000000;0.6200000000;0.1900000000;3.9000000000;0.1700000000;51.0000000000;148.0000000000;0.9986000000;3.1700000000;0.9300000000;9.2000000000;5;16
red;8.5000000000;0.2800000000;0.5600000000;1.8000000000;0.0920000000;35.0000000000;103.0000000000;0.9969000000;3.3000000000;0.7500000000;10.5000000000;7;17
red;8.1000000000;0.5600000000;0.2800000000;1.7000000000;0.3680000000;16.0000000000;56.0000000000;0.9968000000;3.1100000000;1.2800000000;9.3000000000;5;18
red;7.4000000000;0.5900000000;0.0800000000;4.4000000000;0.0860000000;6.0000000000;29.0000000000;0.9974000000;3.3800000000;0.5000000000;9.0000000000;4;19
red;7.9000000000;0.3200000000;0.5100000000;1.8000000000;0.3410000000;17.0000000000;56.0000000000;0.9969000000;3.0400000000;1.0800000000;9.2000000000;6;20
red;8.9000000000;0.2200000000;0.4800000000;1.8000000000;0.0770000000;29.0000000000;60.0000000000;0.9968000000;3.3900000000;0.5300000000;9.4000000000;6;21
red;7.6000000000;0.3900000000;0.3100000000;2.3000000000;0.0820000000;23.0000000000;71.0000000000;0.9982000000;3.5200000000;0.6500000000;9.7000000000;5;22
red;7.9000000000;0.4300000000;0.2100000000;1.6000000000;0.1060000000;10.0000000000;37.0000000000;0.9966000000;3.1700000000;0.9100000000;9.5000000000;5;23
red;8.5000000000;0.4900000000;0.1100000000;2.3000000000;0.0840000000;9.0000000000;67.0000000000;0.9968000000;3.1700000000;0.5300000000;9.4000000000;5;24
red;6.9000000000;0.4000000000;0.1400000000;2.4000000000;0.0850000000;21.0000000000;40.0000000000;0.9968000000;3.4300000000;0.6300000000;9.7000000000;6;25
red;6.3000000000;0.3900000000;0.1600000000;1.4000000000;0.0800000000;11.0000000000;23.0000000000;0.9955000000;3.3400000000;0.5600000000;9.3000000000;5;26
red;7.6000000000;0.4100000000;0.2400000000;1.8000000000;0.0800000000;4.0000000000;11.0000000000;0.9962000000;3.2800000000;0.5900000000;9.5000000000;5;27
red;7.9000000000;0.4300000000;0.2100000000;1.6000000000;0.1060000000;10.0000000000;37.0000000000;0.9966000000;3.1700000000;0.9100000000;9.5000000000;5;28
red;7.1000000000;0.7100000000;0.0000000000;1.9000000000;0.0800000000;14.0000000000;35.0000000000;0.9972000000;3.4700000000;0.5500000000;9.4000000000;5;29
red;7.8000000000;0.6450000000;0.0000000000;2.0000000000;0.0820000000;8.0000000000;16.0000000000;0.9964000000;3.3800000000;0.5900000000;9.8000000000;6;30
red;6.7000000000;0.6750000000;0.0700000000;2.4000000000;0.0890000000;17.0000000000;82.0000000000;0.9958000000;3.3500000000;0.5400000000;10.1000000000;5;31
red;6.9000000000;0.6850000000;0.0000000000;2.5000000000;0.1050000000;22.0000000000;37.0000000000;0.9966000000;3.4600000000;0.5700000000;10.6000000000;6;32
