type;fixed_acidity;volatile_acidity;citric_acid;residual_sugar;chlorides;free_sulfur_dioxide;total_sulfur_dioxide;density;pH;sulphates;alcohol
red;5.9000000000;0.6100000000;0.0800000000;2.1000000000;0.0710000000;16.0000000000;24.0000000000;0.9937600000;3.5600000000;0.7700000000;11.1000000000
red;12.5000000000;0.3700000000;0.5500000000;2.6000000000;0.0830000000;25.0000000000;68.0000000000;0.9995000000;3.1500000000;0.8200000000;10.4000000000
red;7.3000000000;0.5500000000;0.0100000000;1.8000000000;0.0930000000;9.0000000000;15.0000000000;0.9951400000;3.3500000000;0.5800000000;11.0000000000
red;10.4000000000;0.5750000000;0.6100000000;2.6000000000;0.0760000000;11.0000000000;24.0000000000;1.0000000000;3.1600000000;0.6900000000;9.0000000000
red;11.5000000000;0.3150000000;0.5400000000;2.1000000000;0.0840000000;5.0000000000;15.0000000000;0.9987000000;2.9800000000;0.7000000000;9.2000000000
red;8.8000000000;0.6100000000;0.1900000000;4.0000000000;0.0940000000;30.0000000000;69.0000000000;0.9978700000;3.2200000000;0.5000000000;10.0000000000
red;7.7000000000;0.1800000000;0.3400000000;2.7000000000;0.0660000000;15.0000000000;58.0000000000;0.9947000000;3.3700000000;0.7800000000;11.8000000000
red;6.2000000000;0.4500000000;0.2000000000;1.6000000000;0.0690000000;3.0000000000;15.0000000000;0.9958000000;3.4100000000;0.5600000000;9.2000000000
red;9.2000000000;0.5600000000;0.1800000000;1.6000000000;0.0780000000;10.0000000000;21.0000000000;0.9957600000;3.1500000000;0.4900000000;9.9000000000
red;10.6000000000;0.3600000000;0.5700000000;2.3000000000;0.0870000000;6.0000000000;20.0000000000;0.9967600000;3.1400000000;0.7200000000;11.1000000000
red;11.3000000000;0.3400000000;0.4500000000;2.0000000000;0.0820000000;6.0000000000;15.0000000000;0.9988000000;2.9400000000;0.6600000000;9.2000000000
red;7.3000000000;0.4400000000;0.2000000000;1.6000000000;0.0490000000;24.0000000000;64.0000000000;0.9935000000;3.3800000000;0.5700000000;11.7000000000
red;7.5000000000;0.5000000000;0.3600000000;6.1000000000;0.0710000000;17.0000000000;102.0000000000;0.9978000000;3.3500000000;0.8000000000;10.5000000000
red;9.0000000000;0.6200000000;0.0400000000;1.9000000000;0.1460000000;27.0000000000;90.0000000000;0.9984000000;3.1600000000;0.7000000000;9.4000000000
red;8.3000000000;0.4900000000;0.3600000000;1.8000000000;0.2220000000;6.0000000000;16.0000000000;0.9980000000;3.1800000000;0.6000000000;9.5000000000
red;8.6000000000;0.5500000000;0.0900000000;3.3000000000;0.0680000000;8.0000000000;17.0000000000;0.9973500000;3.2300000000;0.4400000000;10.0000000000
red;7.1000000000;0.4600000000;0.1400000000;2.8000000000;0.0760000000;15.0000000000;37.0000000000;0.9962400000;3.3600000000;0.4900000000;10.7000000000
red;7.7000000000;0.9350000000;0.4300000000;2.2000000000;0.1140000000;22.0000000000;114.0000000000;0.9970000000;3.2500000000;0.7300000000;9.2000000000
red;8.2000000000;0.8850000000;0.2000000000;1.4000000000;0.0860000000;7.0000000000;31.0000000000;0.9946000000;3.1100000000;0.4600000000;10.0000000000
red;6.7000000000;0.8600000000;0.0700000000;2.0000000000;0.1000000000;20.0000000000;57.0000000000;0.9959800000;3.6000000000;0.7400000000;11.7000000000
red;7.0000000000;0.7450000000;0.1200000000;1.8000000000;0.1140000000;15.0000000000;64.0000000000;0.9958800000;3.2200000000;0.5900000000;9.5000000000
red;9.6000000000;0.3800000000;0.4200000000;1.9000000000;0.0710000000;5.0000000000;13.0000000000;0.9965900000;3.1500000000;0.7500000000;10.5000000000
red;7.0000000000;0.4200000000;0.1900000000;2.3000000000;0.0710000000;18.0000000000;36.0000000000;0.9947600000;3.3900000000;0.5600000000;10.9000000000
red;8.5000000000;0.4400000000;0.5000000000;1.9000000000;0.3690000000;15.0000000000;38.0000000000;0.9963400000;3.0100000000;1.1000000000;9.4000000000
red;9.0000000000;0.6000000000;0.2900000000;2.0000000000;0.0690000000;32.0000000000;73.0000000000;0.9965400000;3.3400000000;0.5700000000;10.0000000000
red;7.1000000000;0.7350000000;0.1600000000;1.9000000000;0.1000000000;15.0000000000;77.0000000000;0.9966000000;3.2700000000;0.6400000000;9.3000000000
red;8.3000000000;0.5400000000;0.2400000000;3.4000000000;0.0760000000;16.0000000000;112.0000000000;0.9976000000;3.2700000000;0.6100000000;9.4000000000
red;9.5000000000;0.7800000000;0.2200000000;1.9000000000;0.0770000000;6.0000000000;32.0000000000;0.9988000000;3.2600000000;0.5600000000;10.6000000000
red;7.0000000000;0.4900000000;0.4900000000;5.6000000000;0.0600000000;26.0000000000;121.0000000000;0.9974000000;3.3400000000;0.7600000000;10.5000000000
red;8.8000000000;0.3700000000;0.4800000000;2.1000000000;0.0970000000;39.0000000000;145.0000000000;0.9975000000;3.0400000000;1.0300000000;9.3000000000
red;8.8000000000;0.2400000000;0.5400000000;2.5000000000;0.0830000000;25.0000000000;57.0000000000;0.9983000000;3.3900000000;0.5400000000;9.2000000000
red;8.5000000000;0.5850000000;0.1800000000;2.1000000000;0.0780000000;5.0000000000;30.0000000000;0.9967000000;3.2000000000;0.4800000000;9.8000000000
red;11.9000000000;0.3800000000;0.5100000000;2.0000000000;0.1210000000;7.0000000000;20.0000000000;0.9996000000;3.2400000000;0.7600000000;10.4000000000
red;8.6000000000;0.4200000000;0.3900000000;1.8000000000;0.0680000000;6.0000000000;12.0000000000;0.9951600000;3.3500000000;0.6900000000;11.7000000000
red;6.0000000000;0.5800000000;0.2000000000;2.4000000000;0.0750000000;15.0000000000;50.0000000000;0.9946700000;3.5800000000;0.6700000000;12.5000000000
red;7.3000000000;0.6700000000;0.0200000000;2.2000000000;0.0720000000;31.0000000000;92.0000000000;0.9956600000;3.3200000000;0.6800000000;11.0666666700
red;10.2000000000;0.4400000000;0.5800000000;4.1000000000;0.0920000000;11.0000000000;24.0000000000;0.9974500000;3.2900000000;0.9900000000;12.0000000000
red;9.4000000000;0.3000000000;0.5600000000;2.8000000000;0.0800000000;6.0000000000;17.0000000000;0.9964000000;3.1500000000;0.9200000000;11.7000000000
red;7.5000000000;0.7250000000;0.0400000000;1.5000000000;0.0760000000;8.0000000000;15.0000000000;0.9950800000;3.2600000000;0.5300000000;9.6000000000
red;6.4000000000;0.7900000000;0.0400000000;2.2000000000;0.0610000000;11.0000000000;17.0000000000;0.9958800000;3.5300000000;0.6500000000;10.4000000000
red;9.9000000000;0.2500000000;0.4600000000;1.7000000000;0.0620000000;26.0000000000;42.0000000000;0.9959000000;3.1800000000;0.8300000000;10.6000000000
red;11.7000000000;0.4500000000;0.6300000000;2.2000000000;0.0730000000;7.0000000000;23.0000000000;0.9997400000;3.2100000000;0.6900000000;10.9000000000
red;8.7000000000;0.7800000000;0.5100000000;1.7000000000;0.4150000000;12.0000000000;66.0000000000;0.9962300000;3.0000000000;1.1700000000;9.2000000000
red;8.3000000000;0.2600000000;0.4200000000;2.0000000000;0.0800000000;11.0000000000;27.0000000000;0.9974000000;3.2100000000;0.8000000000;9.4000000000
red;10.5000000000;0.5900000000;0.4900000000;2.1000000000;0.0700000000;14.0000000000;47.0000000000;0.9991000000;3.3000000000;0.5600000000;9.6000000000
red;8.3000000000;0.3300000000;0.4200000000;2.3000000000;0.0700000000;9.0000000000;20.0000000000;0.9942600000;3.3800000000;0.7700000000;12.7000000000
red;12.0000000000;0.2800000000;0.4900000000;1.9000000000;0.0740000000;10.0000000000;21.0000000000;0.9976000000;2.9800000000;0.6600000000;9.9000000000
red;7.2000000000;0.6000000000;0.0400000000;2.5000000000;0.0760000000;18.0000000000;88.0000000000;0.9974500000;3.5300000000;0.5500000000;9.5000000000
red;7.8000000000;0.3400000000;0.3700000000;2.0000000000;0.0820000000;24.0000000000;58.0000000000;0.9964000000;3.3400000000;0.5900000000;9.4000000000
red;8.8000000000;0.3100000000;0.4000000000;2.8000000000;0.1090000000;7.0000000000;16.0000000000;0.9961400000;3.3100000000;0.7900000000;11.8000000000
red;7.2000000000;0.3300000000;0.3300000000;1.7000000000;0.0610000000;3.0000000000;13.0000000000;0.9960000000;3.2300000000;1.1000000000;10.0000000000
red;8.9000000000;0.3200000000;0.3100000000;2.0000000000;0.0880000000;12.0000000000;19.0000000000;0.9957000000;3.1700000000;0.5500000000;10.4000000000
red;7.1000000000;0.2700000000;0.6000000000;2.1000000000;0.0740000000;17.0000000000;25.0000000000;0.9981400000;3.3800000000;0.7200000000;10.6000000000
red;8.2000000000;0.3400000000;0.3800000000;2.5000000000;0.0800000000;12.0000000000;57.0000000000;0.9978000000;3.3000000000;0.4700000000;9.0000000000
red;9.6000000000;0.7700000000;0.1200000000;2.9000000000;0.0820000000;30.0000000000;74.0000000000;0.9986500000;3.3000000000;0.6400000000;10.4000000000
red;7.0000000000;0.5800000000;0.1200000000;1.9000000000;0.0910000000;34.0000000000;124.0000000000;0.9956000000;3.4400000000;0.4800000000;10.5000000000
red;9.9000000000;0.5000000000;0.5000000000;13.8000000000;0.2050000000;48.0000000000;82.0000000000;1.0024200000;3.1600000000;0.7500000000;8.8000000000
red;6.5000000000;0.6300000000;0.3300000000;1.8000000000;0.0590000000;16.0000000000;28.0000000000;0.9953100000;3.3600000000;0.6400000000;10.1000000000
red;8.0000000000;0.6000000000;0.0800000000;2.6000000000;0.0560000000;3.0000000000;7.0000000000;0.9928600000;3.2200000000;0.3700000000;13.0000000000
red;7.7000000000;0.5800000000;0.0100000000;1.8000000000;0.0880000000;12.0000000000;18.0000000000;0.9956800000;3.3200000000;0.5600000000;10.5000000000
