type;fixed_acidity;volatile_acidity;citric_acid;residual_sugar;chlorides;free_sulfur_dioxide;total_sulfur_dioxide;density;pH;sulphates;alcohol;quality;random_num;rnum
red;6.3000000000;0.5100000000;0.1300000000;2.3000000000;0.0760000000;29.0000000000;40.0000000000;0.9957400000;3.4200000000;0.7500000000;11.0000000000;6;1661046,9190523;1
red;5.9000000000;0.4400000000;0.0000000000;1.6000000000;0.0420000000;3.0000000000;11.0000000000;0.9944000000;3.4800000000;0.8500000000;11.7000000000;6;1836853,6175769;2
red;7.2000000000;0.5300000000;0.1400000000;2.1000000000;0.0640000000;15.0000000000;29.0000000000;0.9932300000;3.3500000000;0.6100000000;12.1000000000;6;2000309,1157803;3
red;7.7000000000;0.6300000000;0.0800000000;1.9000000000;0.0760000000;15.0000000000;27.0000000000;0.9967000000;3.3200000000;0.5400000000;9.5000000000;6;2333264,8615224;4
red;13.3000000000;0.4300000000;0.5800000000;1.9000000000;0.0700000000;15.0000000000;40.0000000000;1.0004000000;3.0600000000;0.4900000000;9.0000000000;5;2924915,4828504;5
red;8.3000000000;0.7600000000;0.2900000000;4.2000000000;0.0750000000;12.0000000000;16.0000000000;0.9965000000;3.4500000000;0.6800000000;11.5000000000;6;3966990,0351198;6
red;9.3000000000;0.3600000000;0.3900000000;1.5000000000;0.0800000000;41.0000000000;55.0000000000;0.9965200000;3.4700000000;0.7300000000;10.9000000000;6;4839390,6481856;7
red;7.9000000000;0.3200000000;0.5100000000;1.8000000000;0.3410000000;17.0000000000;56.0000000000;0.9969000000;3.0400000000;1.0800000000;9.2000000000;6;5358135,0080791;8
red;7.9000000000;0.3000000000;0.6800000000;8.3000000000;0.0500000000;37.5000000000;278.0000000000;0.9931600000;3.0100000000;0.5100000000;12.3000000000;7;7604018,9923178;9
red;8.3000000000;0.6000000000;0.2500000000;2.2000000000;0.1180000000;9.0000000000;38.0000000000;0.9961600000;3.1500000000;0.5300000000;9.8000000000;5;8399866,7503088;10
red;10.1000000000;0.4300000000;0.4000000000;2.6000000000;0.0920000000;13.0000000000;52.0000000000;0.9983400000;3.2200000000;0.6400000000;10.0000000000;7;9650479,3338798;11
red;7.9000000000;0.5800000000;0.2300000000;2.3000000000;0.0760000000;23.0000000000;94.0000000000;0.9968600000;3.2100000000;0.5800000000;9.5000000000;6;12391586,1944264;12
red;6.7000000000;0.8550000000;0.0200000000;1.9000000000;0.0640000000;29.0000000000;38.0000000000;0.9947200000;3.3000000000;0.5600000000;10.7500000000;6;14224600,4345848;13
red;9.5000000000;0.4600000000;0.4900000000;6.3000000000;0.0640000000;5.0000000000;17.0000000000;0.9988000000;3.2100000000;0.7300000000;11.0000000000;6;14454472,2726846;14
red;6.3000000000;0.5700000000;0.2800000000;2.1000000000;0.0480000000;13.0000000000;49.0000000000;0.9937400000;3.4100000000;0.6000000000;12.8000000000;5;16087486,3814769;15
red;6.9000000000;0.6850000000;0.0000000000;2.5000000000;0.1050000000;22.0000000000;37.0000000000;0.9966000000;3.4600000000;0.5700000000;10.6000000000;6;16249741,4048489;16
red;10.6000000000;0.8300000000;0.3700000000;2.6000000000;0.0860000000;26.0000000000;70.0000000000;0.9981000000;3.1600000000;0.5200000000;9.9000000000;5;16439255,3094003;17
red;9.0000000000;0.4400000000;0.4900000000;2.4000000000;0.0780000000;26.0000000000;121.0000000000;0.9978000000;3.2300000000;0.5800000000;9.2000000000;5;17587332,0686791;18
red;10.0000000000;0.5900000000;0.3100000000;2.2000000000;0.0900000000;26.0000000000;62.0000000000;0.9994000000;3.1800000000;0.6300000000;10.2000000000;6;19507184,2250454;19
red;8.7000000000;0.7650000000;0.2200000000;2.3000000000;0.0640000000;9.0000000000;42.0000000000;0.9963000000;3.1000000000;0.5500000000;9.4000000000;5;19602416,6175084;20
red;5.6000000000;0.5000000000;0.0900000000;2.3000000000;0.0490000000;17.0000000000;99.0000000000;0.9937000000;3.6300000000;0.6300000000;13.0000000000;5;19607001,5186682;21
