type;fixed_acidity;volatile_acidity;citric_acid;residual_sugar;chlorides;free_sulfur_dioxide;total_sulfur_dioxide;density;pH;sulphates;alcohol;quality;rel_err_fixed_acidity;rel_err_volatile_acidity;rel_err_citric_acid;rel_err_residual_sugar;rel_err_chlorides;rel_err_free_sulfur_dioxide;rel_err_total_sulfur_dioxide;rel_err_density;rel_err_pH;rel_err_sulphates;rel_err_alcohol;rel_err_quality;rel_err;rnum
red;3.71785109401594;0.331045352357023;0.49989901251311;1.80689948493159;0.0401577848163269;30.3412254946747;27.4741510578205;0.498174976089217;4.88741965950233;1.22910160150329;9.89212213058475;6;0.055700;0.148446;0.380359;0.522406;0.177393;0.279087;0.585114;0.000243;0.025375;0.581475;0.095986;0;2.851584;39
red;4.68554632420333;0.202012855275432;0.187968120317769;3.37724377971143;0.0142671336065502;22.0544157071579;88.3048196519191;0.500085112147646;4.32026533952381;0.548617216105656;10.6937186521553;7;1.624290;0.175474;0.121589;0.559144;0.785928;0.179675;0.135654;0.004079;0.012947;0.265743;0.115047;0;3.979570;172
white;5.5977479503553;0.285043782008108;0.28143575540773;10.524686710717;0.0272984378352749;26.6918596041495;81.0538332598948;0.500153762640982;3.0703916804865;0.455004297057546;10.1776507545958;5;0.996854;0.028237;0.027473;0.414412;0.286427;0.049705;0.166866;0.002450;0.033660;0.073143;0.172229;0;2.251456;205
red;9.23118337509922;0.585289355867258;0.057196306421676;1.32800730725093;0.0941534818960411;26.0034210436309;46.8133114110626;0.503309128770955;2.7442958059032;0.834087890781601;7.58671697523171;6;1.310572;0.384025;0.749025;0.595882;0.141715;0.410162;0.671548;0.000836;0.025375;0.223760;0.085089;0;4.597989;280
red;9.41412944175155;0.348013645010099;0.121849488302858;2.87097469135804;0.0963745032180187;11.3248978870366;14.3773246632035;0.506014899334338;3.33101887259505;0.462476866341287;13.0769016787114;5;0.055700;1.046590;0.592166;0.632620;0.355786;0.606774;0.827130;0.000766;0.022268;0.016662;0.037437;0;4.193899;209
red;8.98852097134951;0.404470991669362;0.250613325642967;3.40140899943861;0.104559725428212;17.7668002857565;59.4733801421192;0.506031879396138;2.57801508971333;0.703333355663746;8.95001783899591;5;0.258017;0.707945;0.058845;0.559144;0.320108;0.508468;0.524610;0.002113;0.075091;0.110798;0.027907;0;3.153046;59
red;9.93356494061685;0.865389742010038;0.175008818832745;2.95752505891922;0.0647999069973228;8.73267098513929;23.3301634063249;0.506483075514353;1.67744605788922;0.591192035451645;10.0244776018288;5;0.055700;1.046590;0.592166;0.632620;0.355786;0.606774;0.827130;0.000766;0.022268;0.016662;0.037437;0;4.193899;207
white;7.06127943398961;0.166564201152647;0.279207360973655;5.71986348917429;0.0543986266406485;25.7137147127194;105.158494402834;0.50921602220451;3.28846953433321;0.46055555140989;11.5803917742931;5;0.683136;0.646631;0.403935;0.099919;0.018838;0.115243;0.097718;0.000605;0.022268;0.228089;0.104149;0;2.420531;280
red;10.2700652301391;0.388542619779081;0.0332603121403725;2.65230964954676;0.109926910218571;11.073178084512;77.9991811442176;0.5092306803934;4.63614760315794;0.370734241552771;11.7023919851003;5;0.055700;0.943524;0.905884;0.577513;0.391465;0.475699;0.256662;0.002746;0.096841;0.073143;0.075558;0;3.854735;158
white;3.62946085823906;0.0958038521848521;0.253083732106942;1.21203407054649;0.0546307701374576;29.2718102275236;74.2539481160809;0.510408533105224;3.37215892332697;0.442327149692036;13.5619442588374;5;0.055700;0.499395;0.286244;0.706096;0.072356;0.213549;0.089075;0.002430;0.008803;0.077472;0.029274;0;2.040394;120
