type;fixed_acidity;volatile_acidity;citric_acid;residual_sugar;chlorides;free_sulfur_dioxide;total_sulfur_dioxide;density;pH;sulphates;alcohol;quality;rnumy;avg_fixed_acidity;avg_volatile_acidity;avg_citric_acid;avg_residual_sugar;avg_chlorides;avg_free_sulfur_dioxide;avg_total_sulfur_dioxide;avg_density;avg_pH;avg_sulphates;avg_alcohol;avg_quality;rel_err_fixed_acidity;rel_err_volatile_acidity;rel_err_citric_acid;rel_err_residual_sugar;rel_err_chlorides;rel_err_free_sulfur_dioxide;rel_err_total_sulfur_dioxide;rel_err_density;rel_err_pH;rel_err_sulphates;rel_err_alcohol;rel_err_quality;rel_err;rnum;repeats
white;6.2000000000;0.3300000000;0.2700000000;4.9000000000;0.0360000000;30.0000000000;134.0000000000;0.9927000000;3.2000000000;0.4200000000;10.4000000000;7;298;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;4.779755;0.182426;0.142730;0.139888;0.465589;0.187562;0.405891;0.002905;0.017197;0.266947;0.004793;0;6.595683;760;1
red;6.2000000000;0.4300000000;0.2200000000;1.8000000000;0.0780000000;21.0000000000;56.0000000000;0.9963300000;3.5200000000;0.6000000000;9.5000000000;6;1196;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;4.779755;0.065323;0.301483;0.581265;0.157888;0.168706;0.412463;0.000740;0.081083;0.047217;0.082160;0;6.678083;715;1
white;6.3000000000;0.2200000000;0.4300000000;4.5500000000;0.0380000000;31.0000000000;130.0000000000;0.9918000000;3.3500000000;0.3300000000;11.5000000000;7;168;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;4.462248;0.454950;0.365281;0.058467;0.435900;0.227147;0.363924;0.003809;0.028871;0.424030;0.111069;0;6.935696;825;1
white;6.3000000000;0.2700000000;0.2300000000;2.9000000000;0.0470000000;13.0000000000;100.0000000000;0.9936000000;3.2800000000;0.4300000000;9.8000000000;5;904;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;4.462248;0.331076;0.269733;0.325372;0.302297;0.485389;0.049172;0.002001;0.007373;0.249493;0.053175;0;6.537329;747;1
white;6.3000000000;0.3000000000;0.2800000000;5.0000000000;0.0420000000;36.0000000000;168.0000000000;0.9950500000;3.2200000000;0.6900000000;9.5000000000;6;745;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;4.462248;0.256751;0.110979;0.163151;0.376521;0.425074;0.762610;0.000545;0.011054;0.204300;0.082160;0;6.855393;805;1
white;6.3000000000;0.3400000000;0.3300000000;4.6000000000;0.0340000000;19.0000000000;80.0000000000;0.9917000000;3.3800000000;0.5800000000;12.0000000000;7;143;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;4.462248;0.157651;0.047774;0.070099;0.495279;0.247877;0.160661;0.003909;0.038085;0.012310;0.159376;0;5.855269;591;1
red;6.3000000000;0.3600000000;0.1900000000;3.2000000000;0.0750000000;15.0000000000;39.0000000000;0.9956000000;3.5600000000;0.5200000000;12.7000000000;6;610;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;4.462248;0.108101;0.396736;0.255583;0.113354;0.406218;0.590822;0.000007;0.093368;0.092411;0.227007;0;6.745855;725;1
white;6.4000000000;0.2250000000;0.4800000000;2.2000000000;0.1150000000;29.0000000000;104.0000000000;0.9918000000;3.2400000000;0.5800000000;12.1000000000;6;756;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;4.144741;0.442563;0.524035;0.488213;0.707143;0.147976;0.091139;0.003809;0.004911;0.012310;0.169038;0;6.735878;781;1
white;6.4000000000;0.2500000000;0.3200000000;5.5000000000;0.0490000000;41.0000000000;176.0000000000;0.9950000000;3.1900000000;0.6800000000;9.2000000000;6;173;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;4.144741;0.380625;0.016023;0.279466;0.272608;0.623001;0.846544;0.000595;0.020268;0.186846;0.111144;0;6.881861;809;1
white;6.4000000000;0.2500000000;0.3300000000;1.4000000000;0.0400000000;42.0000000000;115.0000000000;0.9906000000;3.1900000000;0.4800000000;11.3000000000;7;1339;7.7054000000;0.4036333333;0.3149533333;4.2986666666;0.0673640000;25.2618333333;95.3131666666;0.9955926000;3.2559933333;0.5729466666;10.3503888888;5;4.144741;0.380625;0.047774;0.674317;0.406211;0.662587;0.206548;0.005014;0.020268;0.162225;0.091746;0;6.802056;796;1
