type;fixed_acidity;volatile_acidity;citric_acid;residual_sugar;chlorides;free_sulfur_dioxide;total_sulfur_dioxide;density;pH;sulphates;alcohol;quality;rel_err_fixed_acidity;rel_err_volatile_acidity;rel_err_citric_acid;rel_err_residual_sugar;rel_err_chlorides;rel_err_free_sulfur_dioxide;rel_err_total_sulfur_dioxide;rel_err_density;rel_err_pH;rel_err_sulphates;rel_err_alcohol;rel_err_quality;rel_err;rnum
white;7.0000000000;0.1300000000;0.3000000000;5.0000000000;0.0560000000;31.0000000000;122.0000000000;0.9945000000;3.4700000000;0.4200000000;10.5000000000;6;0.683136;0.617184;0.058845;0.081550;0.000999;0.015831;0.054501;0.000198;0.078198;0.209262;0.000683;0;1.800387;48
white;7.0000000000;0.2000000000;0.3000000000;6.1000000000;0.0370000000;31.0000000000;120.0000000000;0.9939000000;3.2400000000;0.5100000000;10.8000000000;5;0.683136;0.411053;0.058845;0.120508;0.339945;0.015831;0.037214;0.000801;0.006732;0.039818;0.029274;0;1.743157;37
white;7.0000000000;0.2100000000;0.3100000000;6.0000000000;0.0460000000;29.0000000000;108.0000000000;0.9939000000;3.2600000000;0.5000000000;10.8000000000;6;0.683136;0.381605;0.027473;0.102139;0.179392;0.049705;0.066506;0.000801;0.012947;0.058645;0.029274;0;1.591623;13
red;7.0000000000;0.3600000000;0.2100000000;2.4000000000;0.0860000000;24.0000000000;69.0000000000;0.9955600000;3.4000000000;0.5300000000;10.1000000000;6;0.683136;0.060104;0.341192;0.559144;0.534179;0.213549;0.403601;0.000866;0.056447;0.002164;0.037437;0;2.891819;41
red;7.0000000000;0.4000000000;0.3200000000;3.6000000000;0.0610000000;9.0000000000;29.0000000000;0.9941600000;3.2800000000;0.4900000000;11.3000000000;7;0.683136;0.177893;0.003897;0.338716;0.088197;0.705081;0.749339;0.000540;0.019161;0.077472;0.076926;0;2.920358;44
red;7.0000000000;0.4900000000;0.4900000000;5.6000000000;0.0600000000;26.0000000000;121.0000000000;0.9974000000;3.3400000000;0.7600000000;10.5000000000;5;0.683136;0.442919;0.537218;0.028663;0.070358;0.148012;0.045857;0.002716;0.037804;0.430858;0.000683;0;2.428224;23
white;7.1000000000;0.1500000000;0.3400000000;5.3000000000;0.0340000000;33.0000000000;104.0000000000;0.9953000000;3.3700000000;0.5200000000;9.3000000000;7;0.369418;0.558289;0.066641;0.026443;0.393463;0.081369;0.101080;0.000605;0.047126;0.020991;0.113680;0;1.779105;43
red;7.1000000000;0.3400000000;0.2800000000;2.0000000000;0.0820000000;31.0000000000;68.0000000000;0.9969400000;3.4500000000;0.4800000000;9.4000000000;5;0.369418;0.001209;0.121589;0.632620;0.462822;0.015831;0.412245;0.002254;0.071983;0.096299;0.104149;0;2.290419;19
red;7.1000000000;0.3400000000;0.2800000000;2.0000000000;0.0820000000;31.0000000000;68.0000000000;0.9969400000;3.4500000000;0.4800000000;9.4000000000;5;0.369418;0.001209;0.121589;0.632620;0.462822;0.015831;0.412245;0.002254;0.071983;0.096299;0.104149;0;2.290419;20
white;7.1000000000;0.3400000000;0.3100000000;5.2000000000;0.0320000000;36.0000000000;140.0000000000;0.9916600000;3.3500000000;0.4700000000;12.3000000000;7;0.369418;0.001209;0.027473;0.044812;0.429142;0.179675;0.210083;0.003053;0.040911;0.115126;0.172229;0;1.593131;14
white;7.1000000000;0.3400000000;0.3200000000;2.0000000000;0.0510000000;29.0000000000;130.0000000000;0.9935400000;3.3000000000;0.5000000000;10.4000000000;6;0.369418;0.001209;0.003897;0.632620;0.090195;0.049705;0.123649;0.001163;0.025375;0.058645;0.008846;0;1.364722;4
red;7.1000000000;0.3500000000;0.2900000000;2.5000000000;0.0960000000;20.0000000000;53.0000000000;0.9962000000;3.4200000000;0.6500000000;11.0000000000;6;0.369418;0.030657;0.090217;0.540775;0.712572;0.344624;0.541896;0.001510;0.062662;0.223760;0.048335;0;2.966426;45
red;7.1000000000;0.3600000000;0.3000000000;1.6000000000;0.0800000000;35.0000000000;70.0000000000;0.9969300000;3.4400000000;0.5000000000;9.4000000000;5;0.369418;0.060104;0.058845;0.706096;0.427144;0.146906;0.394958;0.002244;0.068876;0.058645;0.104149;0;2.397385;22
red;7.1000000000;0.4300000000;0.4200000000;5.5000000000;0.0700000000;29.0000000000;129.0000000000;0.9973000000;3.4200000000;0.7200000000;10.5000000000;5;0.369418;0.266235;0.317615;0.010294;0.248751;0.049705;0.115005;0.002616;0.062662;0.355550;0.000683;0;1.798534;1
red;7.1000000000;0.4300000000;0.4200000000;5.5000000000;0.0700000000;29.0000000000;129.0000000000;0.9973000000;3.4200000000;0.7200000000;10.5000000000;5;0.369418;0.266235;0.317615;0.010294;0.248751;0.049705;0.115005;0.002616;0.062662;0.355550;0.000683;0;1.798534;2
red;7.1000000000;0.4300000000;0.4200000000;5.5000000000;0.0710000000;28.0000000000;128.0000000000;0.9973000000;3.4200000000;0.7100000000;10.5000000000;5;0.369418;0.266235;0.317615;0.010294;0.266590;0.082474;0.106362;0.002616;0.062662;0.336723;0.000683;0;1.821672;3
red;7.1000000000;0.4300000000;0.4200000000;5.5000000000;0.0710000000;28.0000000000;128.0000000000;0.9973000000;3.4200000000;0.7100000000;10.5000000000;5;0.369418;0.266235;0.317615;0.010294;0.266590;0.082474;0.106362;0.002616;0.062662;0.336723;0.000683;0;1.821672;4
red;7.1000000000;0.4600000000;0.2000000000;1.9000000000;0.0770000000;28.0000000000;54.0000000000;0.9956000000;3.3700000000;0.6400000000;10.4000000000;6;0.369418;0.354577;0.372563;0.650989;0.373626;0.082474;0.533253;0.000907;0.047126;0.204933;0.008846;0;2.998712;48
red;7.1000000000;0.4600000000;0.2000000000;1.9000000000;0.0770000000;28.0000000000;54.0000000000;0.9956000000;3.3700000000;0.6400000000;10.4000000000;6;0.369418;0.354577;0.372563;0.650989;0.373626;0.082474;0.533253;0.000907;0.047126;0.204933;0.008846;0;2.998712;49
white;7.2000000000;0.1150000000;0.3000000000;6.8000000000;0.0560000000;26.0000000000;105.0000000000;0.9954000000;3.4400000000;0.4000000000;9.6000000000;6;0.055700;0.661355;0.058845;0.249091;0.000999;0.148012;0.092437;0.000706;0.068876;0.246916;0.085089;0;1.668026;25
white;7.2000000000;0.1900000000;0.3100000000;6.3000000000;0.0340000000;17.0000000000;103.0000000000;0.9930500000;3.1500000000;0.5200000000;11.4000000000;7;0.055700;0.440500;0.027473;0.157246;0.393463;0.442930;0.109724;0.001656;0.021232;0.020991;0.086456;0;1.757371;39
white;7.2000000000;0.1900000000;0.3100000000;6.3000000000;0.0340000000;17.0000000000;103.0000000000;0.9930500000;3.1500000000;0.5200000000;11.4000000000;7;0.055700;0.440500;0.027473;0.157246;0.393463;0.442930;0.109724;0.001656;0.021232;0.020991;0.086456;0;1.757371;40
white;7.2000000000;0.2000000000;0.2500000000;4.5000000000;0.0440000000;31.0000000000;109.0000000000;0.9949000000;3.2300000000;0.3600000000;9.4000000000;5;0.055700;0.411053;0.215704;0.173395;0.215070;0.015831;0.057863;0.000203;0.003625;0.322224;0.104149;0;1.574817;12
white;7.2000000000;0.2100000000;0.2900000000;3.1000000000;0.0440000000;39.0000000000;122.0000000000;0.9914300000;3.0000000000;0.6000000000;11.3000000000;6;0.055700;0.381605;0.090217;0.430561;0.215070;0.277981;0.054501;0.003285;0.067840;0.129625;0.076926;0;1.783311;44
white;7.2000000000;0.2200000000;0.2800000000;7.2000000000;0.0600000000;41.0000000000;132.0000000000;0.9935000000;3.0800000000;0.5900000000;11.3000000000;6;0.055700;0.352158;0.121589;0.322567;0.070358;0.343519;0.140935;0.001204;0.042982;0.110798;0.076926;0;1.638736;20
white;7.2000000000;0.2200000000;0.2800000000;7.2000000000;0.0600000000;41.0000000000;132.0000000000;0.9935000000;3.0800000000;0.5900000000;11.3000000000;6;0.055700;0.352158;0.121589;0.322567;0.070358;0.343519;0.140935;0.001204;0.042982;0.110798;0.076926;0;1.638736;21
