type;fixed_acidity;volatile_acidity;citric_acid;residual_sugar;chlorides;free_sulfur_dioxide;total_sulfur_dioxide;density;pH;sulphates;alcohol;quality;rnum
white;6.2000000000;0.4500000000;0.2600000000;4.4000000000;0.0630000000;63.0000000000;206.0000000000;0.9940000000;3.2700000000;0.5200000000;9.8000000000;4;1
white;5.5000000000;0.4850000000;0.0000000000;1.5000000000;0.0650000000;8.0000000000;103.0000000000;0.9940000000;3.6300000000;0.4000000000;9.7000000000;4;2
white;6.4000000000;0.5950000000;0.1400000000;5.2000000000;0.0580000000;15.0000000000;97.0000000000;0.9951000000;3.3800000000;0.3600000000;9.0000000000;4;3
white;7.6000000000;0.4800000000;0.3700000000;0.8000000000;0.0370000000;4.0000000000;100.0000000000;0.9902000000;3.0300000000;0.3900000000;11.4000000000;4;4
white;7.2000000000;0.3200000000;0.4700000000;5.1000000000;0.0440000000;19.0000000000;65.0000000000;0.9910000000;3.0300000000;0.4100000000;12.6000000000;4;5
white;6.0000000000;0.6700000000;0.0700000000;1.2000000000;0.0600000000;9.0000000000;108.0000000000;0.9931000000;3.1100000000;0.3500000000;8.7000000000;4;6
white;6.5000000000;0.2800000000;0.2800000000;8.5000000000;0.0470000000;54.0000000000;210.0000000000;0.9962000000;3.0900000000;0.5400000000;8.9000000000;4;7
white;5.8000000000;0.2800000000;0.3500000000;2.3000000000;0.0530000000;36.0000000000;114.0000000000;0.9924000000;3.2800000000;0.5000000000;10.2000000000;4;8
white;10.2000000000;0.4400000000;0.8800000000;6.2000000000;0.0490000000;20.0000000000;124.0000000000;0.9968000000;2.9900000000;0.5100000000;9.9000000000;4;9
white;6.8000000000;0.6400000000;0.0800000000;9.7000000000;0.0620000000;26.0000000000;142.0000000000;0.9972000000;3.3700000000;0.4600000000;8.9000000000;4;10
white;5.9000000000;0.2100000000;0.2800000000;4.6000000000;0.0530000000;40.0000000000;199.0000000000;0.9964000000;3.7200000000;0.7000000000;10.0000000000;4;11
white;5.8000000000;0.3600000000;0.3800000000;0.9000000000;0.0370000000;3.0000000000;75.0000000000;0.9904000000;3.2800000000;0.3400000000;11.4000000000;4;12
white;6.8000000000;0.3200000000;0.3400000000;1.2000000000;0.0440000000;14.0000000000;67.0000000000;0.9919000000;3.0500000000;0.4700000000;10.6000000000;4;13
white;6.8000000000;0.4400000000;0.3700000000;5.1000000000;0.0470000000;46.0000000000;201.0000000000;0.9938000000;3.0800000000;0.6500000000;10.5000000000;4;14
white;7.2000000000;0.5500000000;0.0900000000;1.5000000000;0.1080000000;16.0000000000;151.0000000000;0.9938000000;3.0700000000;0.5700000000;9.2000000000;4;15
white;7.2000000000;0.4000000000;0.6200000000;10.8000000000;0.0410000000;70.0000000000;189.0000000000;0.9976000000;3.0800000000;0.4900000000;8.6000000000;4;16
white;7.2000000000;0.4000000000;0.6200000000;10.8000000000;0.0410000000;70.0000000000;189.0000000000;0.9976000000;3.0800000000;0.4900000000;8.6000000000;4;17
white;7.2000000000;0.3100000000;0.4600000000;5.0000000000;0.0400000000;3.0000000000;29.0000000000;0.9906000000;3.0400000000;0.5300000000;12.5000000000;4;18
white;6.7000000000;0.3100000000;0.3100000000;9.9000000000;0.0400000000;10.0000000000;175.0000000000;0.9953000000;3.4600000000;0.5500000000;11.4000000000;4;19
white;7.6000000000;0.5600000000;0.1200000000;10.4000000000;0.0960000000;22.0000000000;177.0000000000;0.9983000000;3.3200000000;0.4500000000;9.1000000000;4;20
white;6.1000000000;0.2800000000;0.2500000000;12.9000000000;0.0540000000;34.0000000000;189.0000000000;0.9979000000;3.2500000000;0.4300000000;9.0000000000;4;21
white;6.5000000000;0.3300000000;0.7200000000;1.1000000000;0.0610000000;7.0000000000;151.0000000000;0.9930000000;3.0900000000;0.5700000000;9.5000000000;4;22
white;6.8000000000;0.2900000000;0.1600000000;1.4000000000;0.0380000000;122.5000000000;234.5000000000;0.9922000000;3.1500000000;0.4700000000;10.0000000000;4;23
white;7.0000000000;0.5700000000;0.1000000000;8.3000000000;0.0940000000;23.0000000000;188.0000000000;0.9972000000;3.4000000000;0.4700000000;9.2000000000;4;24
white;6.8000000000;0.6700000000;0.3000000000;13.0000000000;0.2900000000;22.0000000000;193.0000000000;0.9984000000;3.0800000000;0.6700000000;9.0000000000;4;25
white;6.9000000000;0.2000000000;0.3400000000;1.9000000000;0.0430000000;25.0000000000;136.0000000000;0.9935000000;3.3100000000;0.6000000000;10.1000000000;4;26
white;6.6000000000;0.3800000000;0.1800000000;1.2000000000;0.0420000000;20.0000000000;84.0000000000;0.9927000000;3.2200000000;0.4500000000;10.1000000000;4;27
white;6.0000000000;0.3950000000;0.0000000000;1.4000000000;0.0420000000;7.0000000000;55.0000000000;0.9913500000;3.3700000000;0.3800000000;11.2000000000;4;28
